longitude,latitude,stype,fwy,direc,abs_pm,state_pm,size
-121.285685,38.787222,ML,65,S,66.907,R7.189,3
-121.337216,38.565351,OR,50,E,13.32,R7.686,3
-121.388824,38.409665,ML,99,N,287.271,12.801,3
-121.447453,38.497373,OR,99,S,294.174,19.729,3
-121.514043,38.489846,ML,5,N,512.064,16.771,3
-121.514316,38.489782,ML,5,S,512.064,16.771,3
-121.521912,38.510081,ML,5,N,513.537,18.244,3
-121.522187,38.510029,ML,5,S,513.537,18.244,3
-121.51713,38.533567,ML,5,N,515.217,19.924,3
-121.517368,38.533625,ML,5,S,515.217,19.924,3
-121.51041,38.568955,FF,5,S,517.904,22.611,3
-121.510147,38.568913,ML,5,N,517.908,22.615,3
-121.504305,38.59013,ML,5,N,519.478,24.185,3
-121.504623,38.590137,ML,5,S,519.478,24.185,3
-121.513859,38.55921,ML,5,N,517.159,21.866,3
-121.514189,38.559254,ML,5,S,517.159,21.866,3
-121.509639,38.548243,ML,5,N,516.368,21.075,3
-121.509944,38.54827,ML,5,S,516.368,21.075,3
-121.509705,38.480194,OR,5,N,511.354,16.061,3
-121.508713,38.479016,FR,5,N,511.255,15.962,3
-121.509705,38.480194,OR,5,N,511.354,16.061,3
-121.509724,38.480219,ML,5,N,511.356,16.063,3
-121.509949,38.480069,ML,5,S,511.352,16.059,3
-121.510962,38.482406,OR,5,N,511.523,16.23,3
-121.510962,38.482406,ML,5,N,511.523,16.23,3
-121.515973,38.494489,OR,5,N,512.402,17.109,3
-121.515973,38.494489,FR,5,N,512.402,17.109,3
-121.515973,38.494489,FR,5,N,512.402,17.109,3
-121.515973,38.494489,ML,5,N,512.402,17.109,3
-121.517203,38.498603,ML,5,N,512.695,17.402,3
-121.517203,38.498603,OR,5,N,512.695,17.402,3
-121.517451,38.498579,FR,5,S,512.695,17.402,3
-121.517451,38.498579,FR,5,S,512.695,17.402,3
-121.521864,38.516925,OR,5,N,514.011,18.718,3
-121.521864,38.516925,ML,5,N,514.011,18.718,3
-121.52084,38.526156,OR,5,N,514.656,19.363,3
-121.521086,38.526211,FR,5,S,514.656,19.363,3
-121.52084,38.526156,ML,5,N,514.656,19.363,3
-121.507948,38.56772,OR,50,W,3.664,L0.508,3
-121.508107,38.56776,FF,50,W,3.655,L0.499,3
-121.507614,38.57689,OR,5,N,518.481,23.188,3
-121.507614,38.57689,ML,5,N,518.481,23.188,3
-121.507861,38.576947,FR,5,S,518.481,23.188,3
-121.51023,38.541335,OR,5,N,515.878,20.585,3
-121.51023,38.541335,ML,5,N,515.878,20.585,3
-121.510511,38.541441,FR,5,S,515.878,20.585,3
-121.504268,38.581084,OR,5,N,518.826,23.533,3
-121.504268,38.581084,ML,5,N,518.826,23.533,3
-121.504268,38.581084,FR,5,N,518.826,23.533,3
-121.512458,38.614683,OR,5,S,521.26,25.967,3
-121.512458,38.614683,ML,5,S,521.26,25.967,3
-121.513034,38.6158,OR,5,S,521.343,26.05,3
-121.513873,38.617489,ML,5,S,521.468,26.175,3
-121.502951,38.58608,OR,5,N,519.188,23.895,3
-121.502951,38.58608,ML,5,N,519.188,23.895,3
-121.50418,38.59567,ML,5,S,519.861,24.568,3
-121.504177,38.595699,OR,5,S,519.863,24.57,3
-121.503959,38.594805,FR,5,N,519.801,24.508,3
-121.508425,38.607001,ML,5,S,520.688,25.395,3
-121.508425,38.607001,OR,5,S,520.688,25.395,3
-121.508425,38.607001,FR,5,S,520.688,25.395,3
-121.508402,38.60756,OR,5,N,520.725,25.432,3
-121.508402,38.60756,ML,5,N,520.725,25.432,3
-121.508402,38.60756,FR,5,N,520.725,25.432,3
-121.487996,38.428356,ML,5,S,507.486,12.193,3
-121.499686,38.63434,FR,80,W,87.601,M3.696,3
-121.129685,38.642728,ML,50,W,26.362,20.692,3
-121.129621,38.642469,ML,50,E,26.365,20.695,3
-121.54454,38.602902,ML,80,E,84.276,M0.371,3
-121.425542,38.477038,HV,99,N,292.365,17.895,3
-121.395775,38.424808,HV,99,N,288.379,13.909,3
-121.459962,38.510121,HV,99,S,295.283,20.838,3
-121.473702,38.542279,HV,99,N,297.672,23.202,3
-121.398781,38.431418,HV,99,N,288.863,14.393,3
-121.394785,38.422588,HV,99,N,288.217,13.747,3
-121.388824,38.409665,HV,99,N,287.271,12.801,3
-121.388824,38.409665,HV,99,N,287.271,12.801,3
-121.391936,38.41632,HV,99,N,287.759,13.289,3
-121.391936,38.41632,HV,99,N,287.759,13.289,3
-121.395078,38.422772,HV,99,S,288.209,13.764,3
-121.410983,38.457616,HV,99,S,290.763,16.318,3
-121.416935,38.468819,HV,99,N,291.631,17.161,3
-121.416017,38.46754,HV,99,S,291.502,17.057,3
-121.421498,38.473227,HV,99,N,292.023,17.553,3
-121.421128,38.472569,HV,99,S,291.947,17.502,3
-121.409707,38.455428,HV,99,N,290.624,16.154,3
-121.410442,38.456958,HV,99,N,290.737,16.267,3
-121.430345,38.481528,HV,99,N,292.769,18.299,3
-121.433775,38.484562,HV,99,S,293.021,18.576,3
-121.437961,38.488691,HV,99,N,293.412,18.942,3
-121.445343,38.495666,HV,99,N,294.037,19.567,3
-121.447279,38.497462,HV,99,N,294.199,19.729,3
-121.45279,38.502687,HV,99,N,294.666,20.196,3
-121.459013,38.509079,HV,99,N,295.223,20.753,3
-121.464889,38.519527,HV,99,S,295.985,21.54,3
-121.46665,38.52335,HV,99,N,296.291,21.821,3
-121.468176,38.526244,HV,99,N,296.507,22.037,3
-121.472307,38.533524,HV,99,S,297.031,22.586,3
-121.466872,38.523271,HV,99,S,296.265,21.82,3
-121.467078,38.573898,HV,51,S,1.097,1.097,3
-121.384187,38.644777,HV,80,E,94.205,R10.3,3
-121.367313,38.654139,HV,80,E,95.364,11.864,3
-121.352565,38.667783,HV,80,E,96.6,13.1,3
-121.345118,38.674634,HV,80,E,97.225,13.725,3
-121.336967,38.682188,HV,80,E,97.912,14.412,3
-121.335012,38.683947,HV,80,E,98.074,14.574,3
-121.330782,38.687764,HV,80,E,98.425,14.925,3
-121.330331,38.688182,HV,80,E,98.463,14.963,3
-121.318884,38.698664,HV,80,E,99.421,15.921,3
-121.312447,38.704565,HV,80,E,99.96,16.46,3
-121.46048,38.511704,HV,99,N,295.421,20.951,3
-121.473998,38.546046,HV,99,S,297.907,23.462,3
-121.474029,38.554053,HV,99,N,298.486,24.016,3
-121.309709,38.707089,HV,80,E,100.19,16.69,3
-121.303606,38.712665,HV,80,E,100.7,17.200,3
-121.297471,38.718275,HV,80,E,101.213,17.713,3
-121.472146,38.561408,HV,51,N,0.193,0.193,3
-121.381619,38.645697,HV,80,W,94.358,R10.733,3
-121.367632,38.654384,HV,80,W,95.364,11.864,3
-121.361406,38.659994,HV,80,W,95.877,12.377,3
-121.359735,38.661506,HV,80,W,96.015,12.515,3
-121.353536,38.667511,HV,80,W,96.548,13.048,3
-121.345412,38.674994,HV,80,W,97.226,13.726,3
-121.33798,38.681781,HV,80,W,97.843,14.343,3
-121.336101,38.683477,HV,80,W,97.998,14.498,3
-121.329683,38.689321,HV,80,W,98.53,15.03,3
-121.330501,38.688592,HV,80,W,98.463,14.963,3
-121.318965,38.69913,HV,80,W,99.421,15.921,3
-121.311747,38.70566,HV,80,W,100.017,16.517,3
-121.309389,38.707798,HV,80,W,100.212,16.712,3
-121.300485,38.71594,HV,80,W,100.953,17.453,3
-121.270954,38.608682,HV,50,E,18.13,12.460,3
-121.269079,38.609417,HV,50,E,18.244,12.574,3
-121.253397,38.615299,HV,50,E,19.184,13.514,3
-121.242008,38.619685,HV,50,E,19.87,14.2,3
-121.228112,38.624931,HV,50,E,20.704,15.034,3
-121.216507,38.63106,HV,50,E,21.46,15.79,3
-121.155374,38.641851,HV,50,E,24.984,19.314,3
-121.151424,38.641689,HV,50,E,25.196,19.526,3
-121.129621,38.642469,HV,50,E,26.365,20.695,3
-121.116739,38.643067,HV,50,E,27.056,21.386,3
-121.111745,38.643283,HV,50,E,27.34,21.67,3
-121.113672,38.643465,HV,50,W,27.228,21.558,3
-121.118472,38.643261,HV,50,W,26.964,21.294,3
-121.129685,38.642728,HV,50,W,26.362,20.692,3
-121.155977,38.642136,HV,50,W,24.951,19.281,3
-121.159864,38.642303,HV,50,W,24.737,19.067,3
-121.181267,38.641958,HV,50,W,23.549,17.879,3
